,missing_dates
106,2019-01-01 04:37:28
107,2019-01-01 04:23:42
108,2019-01-01 04:23:13
109,2019-01-01 04:05:24
110,2019-01-01 04:08:02
111,2019-01-01 04:26:22
112,2019-01-01 04:32:01
113,2019-01-01 04:43:26
114,2019-01-01 04:53:33
115,2019-01-01 04:53:56
116,2019-01-01 04:05:22
117,2019-01-01 04:25:44
118,2019-01-01 04:16:58
119,2019-01-01 04:30:06
120,2019-01-01 04:51:02
121,2019-01-01 04:39:08
122,2019-01-01 05:20:12
123,2019-01-01 05:29:09
124,2019-01-01 05:16:45
125,2019-01-01 06:02:28
126,2019-01-01 05:14:09
127,2019-01-01 05:38:10
128,2019-01-01 05:36:58
129,2019-01-01 05:45:41
130,2019-01-01 05:43:28
131,2019-01-01 05:47:14
132,2019-01-01 05:24:43
133,2019-01-01 05:24:43
134,2019-01-01 05:46:04
135,2019-01-01 05:41:08
136,2019-01-01 05:26:44
137,2019-01-01 05:06:51
138,2019-01-01 05:38:51
139,2019-01-01 05:20:30
140,2019-01-01 05:38:33
141,2019-01-01 05:43:51
142,2019-01-01 05:47:40
143,2019-01-01 05:05:46
144,2019-01-01 05:56:37
145,2019-01-01 05:13:48
146,2019-01-01 05:29:19
147,2019-01-01 05:42:22
148,2019-01-01 05:35:46
149,2019-01-01 05:37:29
150,2019-01-01 05:43:47
151,2019-01-01 05:44:52
152,2019-01-01 05:07:00
153,2019-01-01 05:23:59
154,2019-01-01 05:28:12
155,2019-01-01 05:11:33
156,2019-01-01 05:29:35
157,2019-01-01 06:15:01
158,2019-01-01 06:56:41
159,2019-01-01 06:22:26
160,2019-01-01 06:40:41
161,2019-01-01 06:48:16
162,2019-01-01 06:58:12
163,2019-01-01 07:08:01
164,2019-01-01 07:08:59
165,2019-01-01 07:44:07
166,2019-01-01 07:08:39
167,2019-01-01 07:48:52
168,2019-01-01 08:33:43
169,2019-01-01 08:05:50
170,2019-01-01 08:44:13
171,2019-01-01 08:52:17
172,2019-01-01 08:57:32
173,2019-01-01 08:53:50
174,2019-01-01 08:50:05
175,2019-01-01 08:33:25
176,2019-01-01 08:32:38
177,2019-01-01 08:32:38
178,2019-01-01 09:27:33
179,2019-01-01 09:42:34
180,2019-01-01 09:27:00
181,2019-01-01 09:39:15
182,2019-01-01 09:10:00
183,2019-01-01 09:48:44
184,2019-01-01 09:13:16
185,2019-01-01 09:47:47
186,2019-01-01 09:06:39
187,2019-01-01 10:09:28
188,2019-01-01 10:49:17
189,2019-01-01 10:37:58
190,2019-01-01 10:48:11
191,2019-01-01 11:01:46
192,2019-01-01 10:35:53
193,2019-01-01 09:53:39
194,2019-01-01 10:49:06
195,2019-01-01 11:28:37
196,2019-01-01 11:36:20
197,2019-01-01 11:43:35
198,2019-01-01 11:50:37
199,2019-01-01 11:32:27
200,2019-01-01 11:35:52
201,2019-01-01 11:34:56
202,2019-01-01 11:49:04
203,2019-01-01 12:54:20
204,2019-01-01 12:39:01
205,2019-01-01 12:40:07
206,2019-01-02 12:15:01
207,2019-01-01 13:16:09
208,2019-01-01 14:13:11
209,2019-01-01 13:31:48
210,2019-01-01 13:05:29
211,2019-01-01 13:06:37
212,2019-01-01 13:09:19
213,2019-01-01 13:07:45
214,2019-01-01 13:33:37
215,2019-01-01 14:05:36
216,2019-01-01 13:36:25
217,2019-01-01 13:56:00
218,2019-01-01 13:56:00
219,2019-01-01 13:09:52
220,2019-01-01 13:50:45
221,2019-01-01 14:22:41
222,2019-01-01 14:35:09
223,2019-01-01 14:03:32
224,2019-01-01 14:04:45
225,2019-01-01 14:06:35
226,2019-01-01 14:09:27
227,2019-01-01 14:41:25
228,2019-01-01 14:06:26
229,2019-01-01 14:14:09
230,2019-01-01 14:06:30
231,2019-01-01 14:50:46
232,2010-09-23 14:48:48
233,2019-01-02 00:05:24
234,2019-01-01 15:02:42
235,2019-01-01 15:36:19
236,2019-01-01 15:42:38
237,2019-01-01 15:51:09
238,2019-01-01 15:27:43
239,2019-01-01 15:57:51
240,2019-01-01 15:46:52
241,2019-01-01 15:27:53
242,2019-01-01 16:02:15
243,2019-01-01 16:06:18
244,2018-12-05 00:00:00
245,2018-12-04 16:10:31
246,2018-12-04 16:14:34
247,2018-12-04 16:18:47
248,2018-12-04 16:39:53
249,2018-12-04 17:01:23
250,2019-01-01 16:39:07
251,2019-01-01 16:47:42
252,2019-01-01 16:17:54
253,2019-01-01 16:31:36
254,2019-01-01 16:31:30
255,2019-01-01 16:05:54
256,2019-01-01 16:29:31
257,2019-01-01 16:25:42
258,2019-01-01 16:30:09
259,2019-01-01 17:01:46
260,2019-01-01 16:11:06
261,2019-01-01 16:16:58
262,2019-01-01 16:46:17
263,2019-01-01 16:58:53
264,2019-01-01 16:59:49
265,2019-01-01 16:56:56
266,2018-12-04 17:10:21
267,2018-12-04 17:23:07
268,2018-12-04 17:45:46
269,2018-12-05 09:53:05
270,2019-01-01 17:36:27
271,2019-01-01 17:06:24
272,2019-01-01 17:45:48
273,2019-01-01 18:06:00
274,2019-01-01 17:11:20
275,2019-01-01 17:15:53
276,2019-01-01 17:17:06
277,2019-01-01 17:45:07
278,2019-01-01 17:04:05
279,2019-01-01 17:04:05
280,2019-01-01 17:39:21
281,2019-01-01 17:29:42
282,2019-01-01 17:35:56
283,2019-01-01 17:37:42
284,2019-01-01 17:26:43
285,2019-01-01 17:12:40
286,2019-01-01 17:03:43
287,2019-01-01 17:53:24
288,2019-01-01 17:36:31
289,2019-01-01 17:25:39
290,2019-01-01 17:03:38
291,2019-01-02 00:00:00
292,2019-01-01 18:34:57
293,2019-01-01 18:06:06
294,2019-01-01 18:13:54
295,2019-01-01 18:55:56
296,2019-01-01 18:10:45
297,2019-01-01 18:07:03
298,2019-01-01 18:23:44
299,2019-01-01 18:20:07
300,2019-01-01 18:03:55
301,2019-01-01 19:01:28
302,2019-01-01 18:44:02
303,2019-01-01 19:46:29
304,2019-01-01 20:01:49
305,2019-01-01 19:08:43
306,2019-01-01 20:15:00
307,2019-01-01 20:17:06
308,2019-01-01 20:33:43
309,2019-01-01 20:45:32
310,2019-01-01 20:44:18
311,2019-01-01 20:28:39
312,2019-01-01 20:36:37
313,2019-01-01 20:31:49
314,2019-01-01 21:06:28
315,2019-01-01 21:06:52
316,2019-01-01 21:07:12
317,2019-01-01 21:34:18
318,2019-01-01 21:37:43
319,2019-01-01 21:38:32
320,2019-01-01 21:52:47
321,2019-01-01 21:44:04
322,2019-01-01 21:59:03
323,2019-01-01 21:13:21
324,2019-01-01 21:18:19
325,2019-01-01 21:14:43
326,2019-01-01 21:37:44
327,2019-01-01 21:51:26
328,2019-01-01 22:52:58
329,2019-01-01 22:08:26
330,2019-01-01 22:27:55
331,2019-01-01 22:49:37
332,2019-01-01 22:06:05
333,2019-01-01 23:45:37
334,2019-01-01 23:53:04
335,2019-01-01 23:05:29
336,2019-01-02 00:01:22
337,2019-01-01 23:15:48
338,2019-01-03 00:30:30
339,2019-01-01 23:51:49
340,2019-01-02 00:33:40
341,2019-01-02 00:08:30
342,2019-01-02 00:57:09
343,2019-01-02 00:59:20
344,2019-01-02 00:50:31
345,2019-01-02 01:29:55
346,2019-01-02 01:39:36
347,2019-01-02 01:43:19
348,2019-01-02 01:00:17
349,2019-01-02 01:01:00
350,2019-01-02 01:17:21
351,2019-01-02 02:30:36
352,2019-01-02 02:44:57
353,2019-01-02 02:44:57
354,2019-01-02 02:44:52
355,2019-01-02 02:48:45
356,2019-01-02 03:59:21
357,2019-01-02 04:18:21
358,2019-01-02 04:55:55
359,2019-01-02 04:40:52
360,2019-01-02 06:27:12
361,2019-01-02 05:33:32
362,2019-01-02 05:50:01
363,2019-01-02 06:33:38
364,2019-01-02 06:33:56
365,2019-01-02 06:27:26
366,2019-01-02 06:27:26
367,2019-01-02 06:44:53
368,2019-01-02 07:03:18
369,2019-01-02 06:17:34
370,2019-01-02 06:09:27
371,2019-01-02 08:09:02
372,2019-01-02 07:38:05
373,2019-01-02 07:31:39
374,2019-01-02 08:34:56
375,2019-01-02 07:47:55
376,2019-01-02 08:03:31
377,2019-01-02 06:15:56
378,2019-01-02 07:19:26
379,2019-01-02 08:26:21
380,2019-01-02 08:04:12
381,2019-01-02 08:52:25
382,2019-01-02 08:53:46
383,2019-01-02 08:26:29
384,2019-01-02 09:26:08
385,2019-01-02 08:01:10
386,2019-01-02 08:54:34
387,2019-01-02 08:32:26
388,2019-01-02 08:55:03
389,2019-01-02 08:35:24
390,2019-01-02 09:06:47
391,2019-01-02 08:42:42
392,2019-01-02 08:21:13
393,2019-01-02 08:23:40
394,2019-01-02 08:24:44
395,2019-01-02 08:22:21
396,2019-01-02 09:55:42
397,2018-12-05 10:17:36
398,2019-01-02 09:30:28
399,2019-01-02 09:59:48
400,2019-01-02 09:02:42
401,2019-01-02 09:12:29
402,2019-01-02 09:44:13
403,2019-01-02 09:44:13
404,2019-01-02 10:10:06
405,2019-01-02 09:53:28
406,2019-01-02 09:55:15
407,2019-01-02 09:29:49
408,2019-01-02 10:10:00
409,2019-01-02 09:57:26
410,2019-01-02 09:34:09
411,2019-01-02 10:08:41
412,2019-01-02 09:50:44
413,2019-01-02 11:02:01
414,2019-01-02 10:40:47
415,2018-12-05 10:31:51
416,2018-12-05 11:02:06
417,2019-01-02 10:29:11
418,2019-01-02 10:55:31
419,2019-01-02 11:43:11
420,2019-01-02 10:46:31
421,2019-01-02 10:08:30
422,2019-01-02 10:44:48
423,2019-01-02 10:00:44
424,2019-01-02 11:01:39
425,2019-01-02 10:32:41
426,2019-01-02 10:39:28
427,2019-01-02 10:39:09
428,2019-01-02 10:52:51
429,2019-01-02 11:27:28
430,2019-01-02 10:55:28
431,2019-01-02 10:44:21
432,2019-01-02 10:29:29
433,2019-01-02 10:29:29
434,2019-01-02 10:42:36
435,2019-01-02 10:42:36
436,2019-01-02 10:57:44
437,2019-01-02 11:39:31
438,2019-01-02 11:49:35
439,2018-12-05 11:20:22
440,2018-12-05 11:32:14
441,2018-12-05 11:36:03
442,2018-12-05 12:18:34
443,2019-01-02 11:36:57
444,2019-01-02 11:30:06
445,2019-01-02 11:26:12
446,2019-01-02 11:26:12
447,2019-01-02 11:58:07
448,2019-01-02 11:33:33
449,2019-01-02 11:35:04
450,2019-01-02 11:26:03
451,2019-01-02 12:23:07
452,2019-01-02 11:30:09
453,2019-01-02 11:44:09
454,2019-01-02 11:42:03
455,2019-01-02 12:34:06
456,2019-01-02 12:52:04
457,2019-01-02 13:11:10
458,2019-01-02 12:49:36
459,2019-01-02 12:23:07
460,2019-01-02 13:13:58
461,2019-01-02 12:30:29
462,2019-01-02 12:31:32
463,2019-01-02 12:45:20
464,2019-01-02 13:07:21
465,2019-01-02 12:53:13
466,2019-01-02 11:49:18
467,2019-01-02 11:50:06
468,2019-01-02 11:50:55
469,2019-01-02 11:51:54
470,2019-01-02 12:31:34
471,2019-01-02 13:03:31
472,2019-01-02 12:34:15
473,2019-01-02 12:32:05
474,2019-01-02 12:50:26
475,2019-01-02 12:22:22
476,2019-01-02 12:39:37
477,2019-01-02 12:05:43
478,2018-12-05 13:17:54
479,2018-12-05 13:20:51
480,2018-12-05 13:29:50
481,2019-01-02 13:45:50
482,2019-01-02 13:06:57
483,2019-01-02 13:17:02
484,2019-01-02 13:25:22
485,2019-01-02 13:43:38
486,2019-01-02 13:25:45
487,2019-01-02 13:18:00
488,2019-01-02 14:09:36
489,2019-01-02 13:48:03
490,2019-01-02 14:01:52
491,2019-01-02 13:59:45
492,2019-01-02 14:29:20
493,2019-01-02 13:19:42
494,2019-01-02 13:37:27
495,2019-01-02 13:56:06
496,2019-01-02 13:16:26
497,2019-01-02 10:14:18
498,2019-01-02 13:38:27
499,2019-01-02 14:04:25
500,2018-12-05 14:30:22
501,2018-12-06 14:30:22
502,2018-12-06 14:30:22
503,2018-12-05 14:44:18
504,2019-01-02 14:26:34
505,2019-01-02 14:17:30
506,2019-01-02 14:20:30
507,2019-01-02 14:57:48
508,2019-01-02 14:39:25
509,2019-01-02 14:08:18
510,2019-01-02 14:52:35
511,2019-01-02 14:54:55
512,2019-01-02 14:58:45
513,2019-01-02 15:00:39
514,2019-01-02 14:11:25
515,2019-01-02 14:48:22
516,2019-01-02 15:04:07
517,2019-01-02 14:58:42
518,2019-01-02 14:04:20
519,2019-01-02 15:56:10
520,2018-12-05 15:14:32
521,2018-12-05 15:26:06
522,2018-12-05 15:46:11
523,2019-01-02 15:37:40
524,2019-01-02 15:11:07
525,2019-01-02 15:58:34
526,2019-01-02 15:57:09
527,2019-01-02 15:34:27
528,2019-01-02 15:39:51
529,2019-01-02 15:55:06
530,2019-01-02 15:43:44
531,2019-01-02 15:43:44
532,2019-01-02 14:51:40
533,2019-01-02 15:13:55
534,2019-01-02 15:57:45
535,2019-01-02 15:07:34
536,2019-01-02 15:20:48
537,2019-01-02 15:13:31
538,2019-01-02 16:02:46
539,2018-12-06 15:46:11
540,2018-12-06 15:46:11
541,2019-01-02 16:25:46
542,2019-01-02 16:46:04
543,2019-01-02 16:52:27
544,2019-01-02 16:53:51
545,2019-01-02 16:10:24
546,2019-01-02 16:18:14
547,2019-01-02 16:04:34
548,2019-01-02 16:04:34
549,2019-01-02 16:02:17
550,2019-01-02 16:27:59
551,2019-01-02 16:29:09
552,2019-01-02 17:01:09
553,2019-01-02 16:26:04
554,2019-01-02 16:39:56
555,2019-01-02 16:42:48
556,2019-01-02 16:14:51
557,2019-01-02 17:02:48
558,2019-01-02 16:21:58
559,2019-01-02 16:22:58
560,2019-01-02 17:04:22
561,2019-01-02 16:05:46
562,2019-01-02 16:28:48
563,2019-01-02 16:09:43
564,2019-01-02 17:37:28
565,2018-12-06 15:46:11
566,2018-12-05 17:38:41
567,2018-12-06 09:47:48
568,2019-01-02 17:22:41
569,2019-01-02 17:52:28
570,2019-01-02 17:53:25
571,2019-01-02 17:45:52
572,2019-01-02 17:33:15
573,2019-01-02 17:39:46
574,2019-01-02 17:59:27
575,2019-01-02 17:47:18
576,2019-01-02 18:01:35
577,2019-01-02 18:03:29
578,2019-01-02 17:37:49
579,2019-01-02 17:42:35
580,2019-01-02 17:52:40
581,2019-01-02 17:45:48
582,2019-01-02 17:23:35
583,2019-01-02 17:15:10
584,2019-01-02 17:56:50
585,2019-01-02 18:49:49
586,2019-01-02 18:57:21
587,2019-01-02 18:56:35
588,2019-01-02 18:56:35
589,2019-01-02 18:05:27
590,2019-01-02 18:05:27
591,2019-01-02 18:20:17
592,2019-01-02 18:45:47
593,2019-01-02 18:20:52
594,2019-01-02 18:59:40
595,2019-01-02 18:59:40
596,2019-01-02 19:00:48
597,2019-01-02 18:48:12
598,2019-01-02 18:27:34
599,2019-01-02 18:17:09
600,2019-01-02 18:46:30
601,2019-01-02 18:33:27
602,2019-01-02 18:53:17
603,2019-01-02 18:45:40
604,2019-01-02 18:31:01
605,2019-01-02 18:58:17
606,2019-01-02 19:09:10
607,2019-01-02 19:25:56
608,2019-01-02 20:00:57
609,2019-01-02 19:24:05
610,2019-01-02 19:17:45
611,2019-01-02 19:48:28
612,2019-01-02 19:43:55
613,2019-01-02 19:51:52
614,2019-01-02 19:15:24
615,2019-01-02 19:31:34
616,2019-01-02 19:24:43
617,2019-01-02 19:24:51
618,2019-01-02 20:09:33
619,2019-01-02 19:20:01
620,2019-01-02 19:44:57
621,2019-01-02 19:34:30
622,2019-01-02 19:07:56
623,2019-01-02 19:51:05
624,2019-01-02 19:43:57
625,2019-01-02 19:31:48
626,2019-01-02 20:33:36
627,2019-01-02 20:43:01
628,2019-01-02 20:12:36
629,2019-01-02 21:00:52
630,2019-01-02 20:58:58
631,2019-01-02 20:40:01
632,2019-01-02 20:53:56
633,2019-01-02 20:11:33
634,2019-01-02 20:33:35
635,2019-01-02 20:23:59
636,2019-01-02 20:28:56
637,2019-01-02 20:43:19
638,2019-01-03 20:03:56
639,2019-01-02 21:42:17
640,2019-01-02 21:35:59
641,2019-01-02 21:20:32
642,2019-01-03 19:52:46
643,2019-01-02 21:47:12
644,2019-01-02 21:07:32
645,2019-01-02 21:37:30
646,2019-01-02 21:21:33
647,2019-01-02 21:53:03
648,2019-01-02 21:47:24
649,2019-01-02 22:27:32
650,2019-01-02 22:44:44
651,2019-01-02 22:40:43
652,2019-01-02 22:01:27
653,2019-01-02 22:59:40
654,2019-01-02 22:47:18
655,2019-01-02 22:39:46
656,2019-01-02 22:56:22
657,2019-01-02 22:39:12
658,2019-01-02 22:30:31
659,2019-01-02 22:52:48
660,2019-01-02 22:05:20
661,2019-01-02 23:16:03
662,2019-01-02 23:22:59
663,2019-01-02 23:41:56
664,2019-01-02 23:05:28
665,2019-01-02 23:15:54
666,2019-01-02 23:29:18
667,2019-01-02 23:20:18
668,2019-01-02 23:01:44
669,2019-01-03 00:01:12
670,2019-01-03 01:02:26
671,2019-01-03 00:18:13
672,2019-01-03 00:38:22
673,2019-01-03 00:34:49
674,2019-01-03 00:38:35
675,2019-01-03 00:54:33
676,2019-01-03 22:52:48
677,2019-01-03 01:31:29
678,2019-01-03 01:55:50
679,2019-01-03 01:33:24
680,2019-01-03 01:37:08
681,2019-01-03 01:02:32
682,2019-01-03 02:50:59
683,2019-01-03 03:16:22
684,2019-01-03 04:03:10
685,2019-01-03 06:05:25
686,2019-01-03 06:39:23
687,2019-01-03 07:23:51
688,2019-01-03 06:30:22
689,2019-01-03 06:17:32
690,2019-01-01 00:06:03
691,2019-01-03 06:29:13
692,2019-01-03 07:37:20
693,2019-01-03 06:57:26
694,2019-01-03 07:48:44
695,2019-01-03 07:07:17
696,2019-01-03 07:06:17
697,2019-01-03 08:09:30
698,2019-01-03 07:09:01
699,2019-01-03 07:31:34
700,2019-01-03 07:56:01
701,2019-01-03 07:38:48
702,2019-01-03 07:34:59
703,2019-01-03 08:00:04
704,2019-01-03 07:12:25
705,2019-01-03 07:08:20
706,2019-01-03 07:08:20
707,2019-01-03 07:33:36
708,2019-01-03 07:33:36
709,2019-01-03 07:09:32
710,2019-01-03 08:48:47
711,2019-01-03 08:39:02
712,2019-01-03 08:54:11
713,2019-01-03 08:24:32
714,2019-01-03 08:00:46
715,2019-01-03 08:06:58
716,2019-01-03 08:06:58
717,2019-01-03 08:09:41
718,2019-01-03 08:09:41
719,2019-01-03 08:52:34
720,2019-01-03 08:04:26
721,2019-01-03 08:36:07
722,2019-01-03 08:47:17
723,2019-01-03 08:07:27
724,2019-01-03 08:07:27
725,2019-01-03 08:06:02
726,2019-01-03 08:18:54
727,2019-01-03 08:32:20
728,2019-01-03 09:10:20
729,2019-01-03 09:08:42
730,2019-01-03 09:33:22
731,2019-01-03 09:38:27
732,2019-01-03 09:06:58
733,2019-01-03 09:10:59
734,2019-01-03 09:57:38
735,2019-01-03 09:43:32
736,2019-01-03 09:23:27
737,2019-01-03 10:06:48
738,2019-01-03 09:28:33
739,2019-01-03 09:13:16
740,2019-01-03 09:08:44
741,2019-01-03 09:22:56
742,2019-01-03 10:03:21
743,2019-01-03 09:39:49
744,2019-01-03 09:09:58
745,2019-01-03 09:09:58
746,2019-01-03 09:18:55
747,2019-01-03 09:40:41
748,2019-01-03 09:09:34
749,2019-01-03 09:11:46
750,2019-01-03 09:11:46
751,2019-01-03 09:18:35
752,2019-01-03 09:34:59
753,2019-01-03 09:08:21
754,2019-01-03 09:22:05
755,2019-01-03 10:14:27
756,2019-01-03 10:47:28
757,2019-01-03 10:48:46
758,2019-01-03 10:22:30
759,2019-01-03 10:02:20
760,2019-01-03 10:59:24
761,2019-01-03 10:57:26
762,2019-01-03 10:57:34
763,2019-01-03 10:35:07
764,2019-01-03 10:13:56
765,2019-01-03 10:42:55
766,2019-01-03 10:05:42
767,2019-01-03 10:28:13
768,2019-01-03 10:11:31
769,2019-01-03 11:12:22
770,2019-01-03 10:22:32
771,2019-01-03 11:03:11
772,2019-01-03 10:15:02
773,2019-01-03 11:22:46
774,2019-01-03 10:16:56
775,2019-01-03 10:42:12
776,2019-01-03 10:19:20
777,2019-01-03 10:27:17
778,2019-01-03 10:25:54
779,2019-01-03 10:35:32
780,2019-01-03 10:52:01
781,2019-01-03 11:40:33
782,2019-01-03 11:43:47
783,2019-01-03 11:33:09
784,2019-01-03 11:05:30
785,2019-01-03 11:56:15
786,2019-01-03 12:04:42
787,2019-01-03 11:10:51
788,2019-01-03 11:07:47
789,2019-01-03 11:24:54
790,2019-01-03 12:17:00
791,2019-01-03 11:42:58
792,2019-01-03 11:26:03
793,2019-01-03 11:18:17
794,2019-01-03 11:06:06
795,2019-01-03 11:06:06
796,2019-01-03 10:44:51
797,2019-01-03 11:56:05
798,2019-01-03 11:56:05
799,2019-01-03 11:40:33
800,2019-01-03 11:24:24
801,2019-01-03 12:18:17
802,2019-01-03 11:58:30
803,2019-01-03 11:52:14
804,2019-01-03 11:28:55
805,2019-01-03 12:15:35
806,2019-01-03 11:44:22
807,2019-01-03 12:25:48
808,2019-01-03 11:48:58
809,2019-01-03 11:58:13
810,2019-01-03 11:12:45
811,2019-01-03 11:14:30
812,2019-01-03 11:52:32
813,2019-01-03 11:13:37
814,2019-01-03 11:27:24
815,2019-01-03 11:44:05
816,2019-01-03 12:32:39
817,2019-01-03 12:17:33
818,2019-01-03 12:49:06
819,2019-01-03 12:23:33
820,2019-01-03 12:24:48
821,2019-01-03 12:14:13
822,2019-01-03 12:54:43
823,2019-01-03 12:11:24
824,2019-01-03 13:04:38
825,2019-01-03 12:37:58
826,2019-01-03 12:04:03
827,2019-01-03 12:36:57
828,2019-01-03 12:41:42
829,2019-01-03 12:03:13
830,2019-01-03 12:49:26
831,2019-01-03 12:38:49
832,2019-01-03 12:38:49
833,2019-01-03 12:09:54
834,2019-01-03 12:27:52
835,2019-01-03 12:31:38
836,2019-01-03 12:23:30
837,2019-01-03 12:03:01
838,2019-01-03 12:04:01
839,2019-01-03 12:04:52
840,2019-01-03 12:05:41
841,2019-01-03 12:06:41
842,2019-01-03 12:03:08
843,2019-01-03 12:10:21
844,2019-01-03 12:14:53
845,2019-01-03 12:54:26
846,2019-01-03 12:13:10
847,2019-01-03 13:22:22
848,2019-01-03 13:16:43
849,2019-01-03 13:27:57
850,2019-01-03 13:17:11
851,2019-01-03 13:29:24
852,2019-01-03 13:04:26
853,2019-01-03 13:30:50
854,2019-01-03 13:14:09
855,2019-01-03 15:19:07
856,2019-01-03 13:54:21
857,2019-01-03 13:54:21
858,2019-01-03 13:53:32
859,2019-01-03 13:01:43
860,2019-01-03 13:12:42
861,2019-01-03 13:35:36
862,2019-01-03 13:32:58
863,2019-01-03 13:02:23
864,2019-01-03 13:43:46
865,2019-01-03 13:53:10
866,2019-01-03 13:44:20
867,2019-01-03 13:22:19
868,2019-01-03 13:49:33
869,2019-01-03 13:26:04
870,2019-01-03 13:46:20
871,2019-01-03 13:46:20
872,2019-01-03 13:49:58
873,2019-01-03 13:49:58
874,2019-01-03 13:48:01
875,2019-01-03 13:33:53
876,2019-01-03 13:06:34
877,2019-01-03 13:27:51
878,2019-01-03 14:24:27
879,2019-01-03 14:35:42
880,2019-01-03 14:56:01
881,2019-01-03 14:43:31
882,2019-01-03 14:08:11
883,2019-01-03 14:45:10
884,2019-01-03 14:13:39
885,2019-01-03 14:17:25
886,2019-01-03 14:17:25
887,2019-01-03 14:25:39
888,2019-01-03 14:13:35
889,2019-01-03 14:44:06
890,2019-01-03 14:07:30
891,2019-01-03 14:11:20
892,2019-01-03 14:53:00
893,2019-01-03 14:20:10
894,2019-01-03 14:35:01
895,2019-01-03 14:45:48
896,2019-01-03 14:05:25
897,2019-01-03 14:28:05
898,2019-01-03 15:36:24
899,2019-01-03 15:45:48
900,2019-01-03 15:50:50
901,2019-01-03 16:00:10
902,2019-01-03 15:21:14
903,2019-01-03 15:27:32
904,2019-01-03 15:27:32
905,2019-01-03 15:00:10
906,2019-01-03 16:19:08
907,2019-01-03 15:26:27
908,2019-01-03 16:09:33
909,2019-01-03 15:20:37
910,2019-01-03 16:12:08
911,2019-01-03 15:16:21
912,2019-01-03 15:17:55
913,2019-01-03 15:32:48
914,2019-01-03 15:26:55
915,2019-01-03 15:09:51
916,2019-01-03 15:36:39
917,2019-01-03 15:17:13
918,2019-01-03 15:18:29
919,2019-01-03 15:55:55
920,2019-01-03 15:50:15
921,2019-01-03 16:53:51
922,2019-01-03 16:40:04
923,2019-01-03 17:02:46
924,2019-01-03 16:09:39
925,2019-01-03 16:23:06
926,2019-01-03 16:19:04
927,2019-01-03 16:20:21
928,2019-01-03 16:02:13
929,2019-01-03 16:51:52
930,2019-01-03 16:24:31
931,2019-01-03 16:23:35
